DL_NO,FULL_NAME,DATE_OF_BIRTH,GENDER,ISSUE_DATE,VALIDITY_DATE,BLOOD_GROUP,ORGAN_DONOR,GUARDIAN_NAME,ADDRESS,MCWG,LMV,HMV,EMERGENCY CONTACT,IMAGE URL
KL07 20052025450,Sushma M P,12/5/1986,F,12/12/2005,11/12/2025,AB-,No,Pooja M P,"23/14, Ambegadon Street, Aluva , Athani PO, Ernakulam, 683585",Yes,Yes,No,9951236410,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20052025450.jpeg"""
KL07 20054210287,Sofial M Vargheese,12/1/1985,F,16/01/2005,15/01/2025,B-,No,Kurian Ittiachan,"Theerthram , Loveline Road, Paravur, Chenmaganad PO, Ernakulam, 683578",Yes,Yes,No,9656412302,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20054210287.jpeg"""
KL07 20060010549,Aiswarya Iyer,26/07/1982,F,21/08/2006,20/08/2028,O+,No,Vishwanath Iyer,"Parambil house , TT Road, Kalamassery PO, Ernakulam, 683104",Yes,Yes,No,7510992531,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20060010549.jpeg"""
KL07 20072001556,Gouri Shankar M,30/08/1985,F,9/10/2007,8/10/2029,AB-,No,Shankaran J,"Uthayam , Mavooor Road, ALuva, Aluva Bazar PO, Ernakulam, 683110",Yes,Yes,No,8962145210,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20072001556.jpeg"""
KL07 20074582002,Fathima Rahman,18/10/1985,F,22/03/2007,21/03/2029,A-,No,Rahman Rashid,"Arunam, D T Road , Paravur, Bainainpuram PO, Ernakulam, 683502",Yes,No,No,8540021001,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20074582002.jpeg"""
KL07 20100010702,Ganesh K,9/9/1990,M,15/06/2010,19/02/2032,O-,No,Sumesh S R,"Teerayi Veedu, K k Road, Mavoor, Muathupuzha PO, Ernakulam, 652178",Yes,Yes,No,9984563214,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20100010702.jpeg"""
KL07 20103653000,Mridhula S,19/03/1990,F,10/1/2010,10/1/2032,A-,No,Suresh P V,"Sayujam House, Katy Road, Kochi ,Chellnam PO, Ernakulam, 682088",Yes,Yes,No,7458693214,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20103653000.jpeg"""
KL07 20110110149,Valsa Thomas,9/2/1976,F,1/3/2011,8/2/2026,A+,Yes,Thomas Eldhose,"Theeram, F Y Road, Kochi ,Ayampilly PO, Ernakulam, 682501",Yes,Yes,No,7512246021,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20110110149.jpeg"""
KL07 20120008963,Yadhu Krishna,9/5/1993,M,12/12/2012,11/12/2034,A-,No,Kumari B,"kerala vedu, Iyer lane, kottayam Taluk,kottayam,687512",Yes,No,No,9893231405,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20120008963.jpeg"""
KL07 20120010660,Kannan C V,24/4/1993,M,7/12/2012,6/12/2032,A+,No,C M Valsan,"Chullipparambil House, Moolepadam Road, Kalamassery PO, Ernakulam, 683104",Yes,Yes,No,8642104546,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20120010660.jpg"""
KL07 20125469853,Narayanan Nair,22/01/1989,M,10/9/2012,9/9/2032,O+,No,Babu Nair,"Shanthikaram, FR ROad, Kunnathunadu, Alutthichura PO, Ernakulam, 683544",Yes,Yes,Yes,8547321470,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20125469853.jpeg"""
KL07 20140062459,Anjali Santhush,16/12/1995,F,14/08/2014,17/09/2036,B+,No,Santhosh V,"Home Sweet Home, A S ROad, Kothamangalm,Chattamattom PO, Ernakulam, 686671",Yes,No,No,7745126325,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20140062459.jpeg"""
KL07 20145200212,Vikas P babu,19/04/1996,M,28/05/2014,27/05/2036,AB-,No,Babu Raj,"Pravanam, A E Road , Kochi, Chellanam PO, Ernakulam, 682008",Yes,Yes,Yes,8546125213,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20145200212.jpeg"""
KL07 20145640660,Neha Parvathi,16/11/1994,F,28/11/2014,27/11/2036,A+,No,Amal Raj,"chittilathi house, Kanjuur , Kunnumpuram Ernakulam PO, 647896",Yes,Yes,No,8579641230,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20145640660.jpeg"""
KL07 20150011524,Indrajith S,23/07/1996,M,8/1/2015,7/1/2035,A+,No,Shoji CS,"Chullipparambil House Shokula, Moolepadam Road, Kalamassery PO, Thrikkakara North(Part)",Yes,Yes,No,9846671200,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20150011524.jpg"""
KL07 20163010716,Pournami Rajesh,20/12/1998,F,6/8/2016,28/04/2038,AB+,No,Rajesh Vasudev,"Nandhanam , Rotri ROad, ALuva, Ayzhakam PO, Ernakulam, 683577",Yes,Yes,No,8546321528,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20163010716.jpeg"""
KL07 20174582145,Venunath Gopinath,19/04/1997,M,24/10/2017,23/10/2039,B+,No,Gopinath,"Parppidam , OP ROad, Kochi , Ayyampilla PO, Ernakulam, 682501",Yes,No,No,8545456232,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20174582145.jpeg"""
KL07 20180010496,Vikas Sunil,25/09/1999,M,8/9/2018,9/8/2040,O+,No,Sunil Rananuj,"Pavithram House, EK Road, Kunnathunadu, Airapuram PO, Ernakulam,683544",Yes,No,No,7458214569,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20180010496.jpeg"""
KL07 20180010667,Anita P,17/11/1997,F,20/03/2018,19/03/2040,B+,No,Prasanth V,"Valsan house, weeladu , maavorr , waynad, 847874",Yes,Yes,No,8547110602,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20180010667.jpeg"""
KL07 20180530215,Sanjay S,28/12/2000,M,30/05/2018,30/05/2040,O+,No,Sumesh C,"Sothram, IP Road, Karukutty, Arvappuram PO, Ernakulam, 678974",Yes,Yes,No,6532987458,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20180530215.jpeg"""
KL07 20185264390,Rishi k ramraj,16/12/2001,M,3/12/2018,2/12/2040,O-,No,Ramraj Rao,"KAvyami, D T House , Kothamngalam, Chathamattom PO, Ernakulam, 686671",Yes,Yes,No,9987454512,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20185264390.jpeg"""
KL07 20187512696,Aleena Maria,3/9/1996,F,12/2/2018,11/2/2040,O+,No,Paul Tom,"Kailasam, KA L ROad, Kunnathunadu, Azheelam PO, Ernakulam, 683577",Yes,Yes,No,7512123625,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20187512696.jpeg"""
KL07 20190000999,Rajesh K P,13/12/1977,M,22/02/2019,12/12/2027,B+,Yes,Parthiban G,"Nandhanam , Rotri ROad, ALuva, Ayzhakam PO, Ernakulam, 683577",Yes,Yes,Yes,7545456323,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20190000999.jpeg"""
KL07 20190010632,Sathyajith T,20/12/2000,M,26/01/2019,8/7/2041,AB-,No,Narayan Iyer,"Erayil Veeddu , Mavoor Road, Kanayannu Taluk, Changanpuzha Nagar PO, Ernakulam, 682033",Yes,Yes,No,8457458632,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20190010632.jpeg"""
KL07 20193602560,Shiva Shakthi,19/09/1994,M,16/11/2019,15/11/2041,AB+,Yes,Syam Sundar,"Souparnika, DE ROad, Paravur , Alangad PO, Ernakulam, 683511",Yes,Yes,Yes,9547601204,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20193602560.jpeg"""
KL07 20200010536,Gafoor P B,19/06/1996,M,17/12/2020,8/4/2044,O-,No,Abubakkar PV,"Uthayam , Mavooor Road, ALuva, Aluva Bazar PO, Ernakulam, 683110",Yes,Yes,No,9961422014,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20200010536.jpeg"""
KL07 20200214245,Alen Thomas,15/08/2001,M,25/01/2020,24/01/2042,B-,No,Thomas K K,"MaryMatha House, Mary Road, Irinjalakkuda PO, 652110",Yes,No,No,9758463215,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20200214245.jpeg"""
KL07 20204548360,Rahul P R,8/12/1999,M,17/05/2020,16/05/2042,O-,No,Anil P R,"Anamdam veedu, Aroor , angamali PO, Ernakulam",Yes,Yes,No,7563201489,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20204548360.jpeg"""
KL07 20205948742,Raja Lakshmi,12/5/2000,F,24/12/2020,23/12/2042,O+,No,Vinod P,"Pournami , NM Road, Kunnathunadu , Allapra PO,Ernakulam, 683556",Yes,No,No,8855458520,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20205948742.jpeg"""
KL07 20210008761,Akshay S,29/05/2003,M,21/10/2021,28/05/2043,O+,No,Sethunath G,"Akshayam, Mundanparambil Lane Edappally North, AIMS PO, Kunnumpuram Kanayannur, Ernakulam. KL, 682041",Yes,Yes,No,8921578974,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20210008761.jpg"""
KL07 20210010560,Jinusree P,19/09/1973,F,17/08/1991,17/08/2013,AB+,No,Pyarijathan,"Pavithram, Marakker Road, Muvattupuzha, Ayavana PO, Ernakulam, 686687",Yes,Yes,No,8854763210," ""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20210010560.jpeg"""
KL07 20210010660,Devdutt S,20/02/2003,M,7/12/2021,19/02/2043,A+,No,Shoji CS,"Chullipparambil House Shokula, Moolepadam Road, Kalamassery PO, Kanayannur, Ernakulam, KL,683104",Yes,Yes,No,9847833492,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20210010660.jpg"""
KL07 20210013456,Christeena Mohan,19/06/2001,F,10/10/2021,17/09/2043,O-,No,Rodiguz Mohan,"Shathalayam , Edayar ROad , Kunnathunadu, Pathanathapuram PO, Ernakulam, 682308",Yes,Yes,No,9956854871,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20210013456.jpeg"""
KL07 20210047365,Rajith P,10/10/2000,M,18/06/2018,20/09/2040,AB-,No,Praveen Nair,"Mavali House , Mavali ROad, Kothamangalam, Bhothankettu PO, Ernakulam, 686681",Yes,Yes,No,9595959632,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20210047365.jpeg"""
KL07 20220360504,Kalyani R,29/03/2004,F,30/09/2022,29/09/2044,AB-,No,Rakesh R,"Rajram Home stay, Raj Road, chittor PO, 652104",Yes,No,No,9625413804,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20220360504.jpeg"""
KL07 20221036598,Manju K Jose,29/09/2003,F,15/03/2022,14/03/2044,B+,No,Karthikeyan Jose,"Mayamayooram ,Maveli Road, Paravur , Cherai PO, Ernakulam, 683514",Yes,Yes,No,9745821230,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20221036598.jpeg"""
KL07 20225114600,Rishab R Nair,28/11/2000,M,22/08/2022,21/07/2044,A-,No,Ramjith P,"Theerthram , Loveline Road, Paravur, Chenmaganad PO, Ernakulam, 683578",Yes,No,No,8546121232,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20225114600.jpeg"""
KL07 20230010653,Rithuparna Santhu,10/11/2004,F,13/07/2023,19/09/2045,A+,No,Santhu Manu,"Nandhu House, Kings Road, Paravur, Binanipuram PO, Ernakulam, 683502",Yes,Yes,No,9446682021,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20230010653.jpeg"""
KL07 20230016600,Seema Suresh,19/03/2002,F,19/06/2023,18/06/2045,O-,No,Suresh P,"pallavi house, mundan road, kezhattuer medu, unakum PO,632110",Yes,Yes,No,9995559990,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20230016600.jpeg"""
KL07 20232540695,Malavika M Menon,6/6/2000,F,17/04/2023,16/04/2045,AB+,No,Madhavan Menon,"Parppidam , OP ROad, Kochi , Ayyampilla PO, Ernakulam, 682501",Yes,Yes,No,9054254565,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20232540695.jpeg"""
KL07 20232568869,Adwaith Sethunath,13/05/2005,M,27/12/2023,26/12/2045,B-,No,Sethunath G,"Kavyam, JH Road , Paravur, Bhakthanthapuram PO , Ernakulam , 682308",Yes,Yes,No,9541020214,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20232568869.jpeg"""
KL07 20235620021,Mohan Chandran,28/2/2004,M,21/06/2023,20/06/2045,O-,No,Chandran LF,"Arunam, G Y Road , Kothamngalam, 1chelad Junction PO, Ernakulam, 686671",Yes,Yes,No,8457451241,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20235620021.jpeg"""
KL07 20249895022,Arjun V Menon,22/10/2002,M,12/1/2024,11/1/2046,A+,No,Vimal Menon,"Pournami , NM Road, Kunnathunadu , Allapra PO,Ernakulam, 683556",Yes,Yes,No,9654126513,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL07 20249895022.jpeg"""
KL09 20140012798,Praveen Prakash,7/3/1993,M,5/8/2014,4/8/2036,O+,Yes,Prakash Raj,"Aaravam House, marakker lane,kollam district",Yes,Yes,Yes,7551204893,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL09 20140012798.jpeg"""
KL12 20190014789,Amanda J,16/12/2000,F,30/07/2019,29/01/2041,A+,No,Jennifer P,"My Home, Layer road, cheranalluer PO, idukki",Yes,No,No,9061428530,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL12 20190014789.jpeg"""
KL45 19970006748,Jajy K C,31/5/1971,F,31/12/1997,30/5/2031,O+,No,Chandran,"Chullipparambil House, Shokula Moolepadam, Kalamassery Ernakulam, 683104",No,Yes,No,7560913200,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL45 19970006748.jpg"""
KL63 20210006236,Tom Davis,10/7/2003,M,24/11/2021,9/7/2043,A+,No,P K Davis,"Parackal house,Kizhakkumbhaghom (CT), Aluva, Ernakulam,683575",Yes,Yes,No,9446610602,"""C:\Users\ACHU\Documents\S6\CAD 334 MINI PROJECT\images\KL63 20210006236.jpg"""
